Sn         band Tmax      Mmax   error   ts1            ts2            ts31           ts32           s      error  b      s1     error  s2     error  b1     s3     error  b3     Ttrans    error  Tpt       error     Tend      Mend      error     Ttail     Mtail     error     w0        error     a0        error  max2  error tmax2
sn2015bs     B  56938.00  18.06  0.03    56935.8447581  56993.0745968  56935.2590726  56988.891129   1.82   0.04   18.24  3.46   0.16   1.25   0.08   18.10  nan    nan    nan    56951.99  1.00   nan       nan       57000.20  19.38     6.50      nan       nan       nan       9.69      8.97      nan       nan    nan   nan   nan  
sn2016aqw    B  57480.00  16.81  0.01    57479.0        57502.09375    57478.1875     57503.59375    9.65   0.14   16.71  nan    nan    9.65   0.14   16.71  nan    nan    nan    nan       nan    nan       nan       nan       nan       nan       nan       nan       nan       nan       nan       nan       nan    nan   nan   nan
sn2016bkv    B  nan       nan    nan     nan            nan            nan            nan            nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan       nan    nan       nan       nan       nan       nan       nan       nan       nan       nan       nan       nan       nan    nan   nan   nan     
sn2016esw    B  57614.75  17.88  0.10    57615.9854032  57722.6124194  57623.3644355  57706.5015323  3.22   0.06   18.13  4.85   0.17   1.90   0.18   17.81  nan    nan    nan    57652.86  1.99   nan       nan       nan       nan       nan       nan       nan       nan       nan       nan       nan       nan    nan   nan   nan
sn2016gfy    B  nan       nan    nan     nan            nan            nan            nan            nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan       nan    nan       nan       nan       nan       nan       nan       nan       nan       nan       nan       nan       nan    nan   nan   nan     

asassn14ha   R   nan       nan    nan     nan            nan            nan            nan            nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan       nan    nan       nan       nan       nan       nan       nan       nan       nan       nan       nan       nan       nan    nan   nan    nan
asassn14jb   R   nan       nan    nan     nan            nan            nan            nan            nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan       nan    nan       nan       nan       nan       nan       nan       nan       nan       nan       nan       nan       nan    nan   nan    nan
iptf13bjx    R   nan       nan    nan     nan            nan            nan            nan            nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan       nan    nan       nan       nan       nan       nan       nan       nan       nan       nan       nan       nan       nan    nan   nan    nan
ptf09cjq     R  55053.44  18.26  0.10     55052.8020161  55108.1951613  55051.1084677  55108.4774194  0.69   0.11   18.31  nan    nan    0.69   0.11   18.31  nan    nan    nan    nan       nan    nan       nan       nan       nan       nan       nan       nan       nan       nan       nan       nan       nan    nan   nan    nan
ptf10bgl     R  55209.24  18.81  0.10     55209.3850806  55306.7852823  55209.9919355  55295.8618952  0.73   0.05   18.81  nan    nan    0.73   0.05   18.81  nan    nan    nan    nan       nan    nan       nan       nan       nan       nan       nan       nan       nan       nan       nan       nan       nan    nan   nan    nan
sn1948b      R   nan       nan    nan     nan            nan            nan            nan            nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan       nan    nan       nan       nan       nan       nan       nan       nan       nan       nan       nan       nan       nan    nan   nan    nan
sn1970g      R   nan       nan    nan     nan            nan            nan            nan            nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan       nan    nan       nan       nan       nan       nan       nan       nan       nan       nan       nan       nan       nan    nan   nan    nan
sn1983k      R   nan       nan    nan     nan            nan            nan            nan            nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan       nan    nan       nan       nan       nan       nan       nan       nan       nan       nan       nan       nan       nan    nan   nan    nan
